id,y_2011,y_2012,y_2013,y_2014
260,129009.64,128861.67,128469.54,128112.18
261,46976.32,46973.59,45776.63,46511.68
262,52116.8,60975.4,67071.72,73054.5
263,48219.15,48322.81,48791.26,51194.5
264,73857.99,73490.4,71002.55,70651.81
265,137387.34,135521.65,135240.87,134816.54
266,144626.85,147755.45,152879.14,156674.4
267,142447.23,142326.53,142599.41,141986.88
268,137174.66,137167.71,136993.87,137160.09
269,87024.8,87228.24,87348.85,87035.87
270,108771.94,108224.17,108107.46,107864.32
271,178541.1,181005.72,187265.04,200994.91
272,136133.44,137442.56,142903.04,147128.37
273,213882.71,211475.3,214862.96,234596.29
274,210905.75,212650,234759.69,241520.9
275,38351.43,38074.34,38445.05,38674.34
276,90373,90312.92,90332.69,90378.32
277,76173.1,77747.92,80534.96,84729.82
278,63988.58,64244.01,64083.08,63842.91
279,105636.65,106307.37,107521.47,109995.44
280,142500,142500,142500,142500
281,113275.71,112934.2,112312.27,112146.73
282,316827.06,319082.47,317509.53,316548.96
283,210341.77,214994.6,217440.43,220739.62
284,237763.9,238948.13,239098.75,240139.83
285,195460.65,195757.78,194826.63,194296.72
286,116400.3,116532.19,116564.39,116504.33
287,197915.88,204069.7,203839.11,216506.47
288,188854.98,190324.7,187601.99,191372.9
289,132572,132572,131912,138072
290,118863.41,122958.04,123733.9,124339.02
